gas_prod,well,status,depth,elevation,longitude,latitude,field,geology
34.0,oil development,active,1396.0,1685.0,-78.60089,42.00618,Bradford,"Chipmunk, Bradford 2nd & 3rd"
33.0,oil development,active,1280.0,1640.0,-78.60633,42.0058,Bradford,Bradford Second
37.0,oil development,plugged abandoned,1505.0,1870.0,-78.58861,42.00207,Bradford,"Chipmunk, Bradford 2nd & 3rd"
34.0,oil development,active,1486.0,1850.0,-78.59736,42.00745,Bradford,"Chipmunk, Bradford 2nd & 3rd"
34.0,oil development,active,1379.0,1710.0,-78.60934,42.00754,Bradford,"Chipmunk, Bradford 2nd & 3rd"
37.0,oil development,plugged abandoned,1472.0,1840.0,-78.59122,42.00266,Bradford,"Chipmunk, Bradford 2nd & 3rd"
34.0,oil development,active,1280.0,1640.0,-78.60547,42.00741,Bradford,"Chipmunk, Bradford 2nd & 3rd"
37.0,oil development,plugged abandoned,1375.0,1740.0,-78.59266,42.00207,Bradford,"Chipmunk, Bradford 2nd & 3rd"
2.0,gas development,plugged abandoned,1127.0,965.0,-78.5688,42.684,Glenwood,Medina
37.0,oil development,plugged abandoned,1410.0,1780.0,-78.59332,42.00323,Bradford,"Chipmunk, Bradford 2nd & 3rd"
4.0,oil development,plugged abandoned,1196.0,2280.0,-78.05455,42.01865,Richburg,Richburg
5455.0,gas development,plugged abandoned,1294.0,851.0,-78.48139,42.93727,Alden-Lancaster,Medina
4.0,oil development,plugged abandoned,1100.0,2280.0,-78.05456,42.01809,Richburg,Richburg
8.0,gas development,inactive,2446.0,1283.585185185185,-78.79784,42.60088,Brant-Eden,Medina
12.0,oil development,inactive,1934.0,2060.0,-78.23086,42.04445,Richburg,Richburg
25.0,oil development,inactive,1989.0,2355.0,-78.22804,42.04841,Richburg,Richburg
13.0,oil wildcat,inactive,2103.0,2350.0,-78.22736,42.04791,Richburg,Richburg
13.0,oil development,inactive,1990.0,2340.0,-78.22862,42.0497,Richburg,Richburg
25.0,oil development,inactive,1936.0,2030.0,-78.22852,42.05254,Richburg,Richburg
13.0,oil wildcat,inactive,2009.0,1888.8636363636363,-78.22613,42.04821,Richburg,Richburg
12.0,oil development,inactive,1934.0,2090.0,-78.23072,42.0456,Richburg,Richburg
12.0,oil development,inactive,1924.0,1888.8636363636363,-78.23081,42.04689,Richburg,Richburg
46.0,gas development,inactive,1660.0,870.0,-78.69996,42.77714,West Seneca,Medina
46.0,gas development,inactive,1640.0,838.0,-78.70542,42.77939,West Seneca,Medina
825.0,gas development,inactive,1720.0,895.0,-78.70159,42.77256,West Seneca,Medina
125.0,oil wildcat,inactive,2055.0,2350.0,-78.22724,42.04883,Richburg,Richburg
175.0,oil development,active,1278.0,1590.0,-78.60897,42.00561,Bradford,Bradford Second
142.0,oil development,active,1259.0,1600.0,-78.60493,42.0054,Bradford,Bradford 2nd & 3rd
175.0,oil development,active,1551.0,1875.0,-78.59804,42.00628,Bradford,Bradford Second
107.0,oil development,active,1516.0,1846.0086058519794,-78.58103,42.00244,Bradford,Chipmunk
108.0,oil development,plugged abandoned,1532.0,1843.861204013378,-78.58743,42.00177,Bradford,Chipmunk
108.0,oil development,plugged abandoned,1697.0,1845.0827586206897,-78.58275,42.00026,Bradford,Chipmunk
108.0,oil development,plugged abandoned,1480.0,1850.0,-78.5899,42.00232,Bradford,Chipmunk
107.0,oil development,plugged abandoned,1456.0,1840.3779264214047,-78.59222,42.0029,Bradford,Chipmunk
107.0,oil development,plugged abandoned,1476.0,1839.0050251256282,-78.59295,42.00387,Bradford,Chipmunk
108.0,oil development,plugged abandoned,1374.0,1835.5784148397977,-78.59377,42.0026,Bradford,"Chipmunk, Bradford 2nd & 3rd"
198.0,oil development,plugged abandoned,1052.0,1710.0,-78.5905,42.01297,Bradford,Chipmunk
108.0,oil development,plugged abandoned,1400.0,1770.0,-78.59144,42.00185,Bradford,"Chipmunk, Bradford 2nd & 3rd"
108.0,oil development,inactive,1628.0,1843.9278523489934,-78.58607,42.00237,Bradford,Chipmunk
175.0,oil development,active,1528.0,1850.0,-78.60471,42.00818,Bradford,"Chipmunk, Bradford 2nd & 3rd"
176.0,oil development,active,1284.0,1630.0,-78.60367,42.00608,Bradford,"Chipmunk, Bradford 2nd & 3rd"
175.0,oil development,active,1495.0,1805.0,-78.60664,42.00777,Bradford,"Chipmunk, Bradford 2nd & 3rd"
95.0,oil development,active,1401.0,1824.1564147627416,-78.59974,42.00782,Bradford,Bradford 2nd & 3rd
142.0,oil development,active,1376.0,1645.0,-78.60736,42.00592,Bradford,Bradford 2nd & 3rd
175.0,oil development,active,1362.0,1710.0,-78.60045,42.00699,Bradford,"Chipmunk, Bradford 2nd & 3rd"
175.0,oil development,active,1441.0,1750.0,-78.60107,42.0081,Bradford,Bradford Second
176.0,oil development,active,1439.0,1760.0,-78.60243,42.0076,Bradford,"Chipmunk, Bradford 2nd & 3rd"
175.0,oil development,active,1369.0,1705.0,-78.6056,42.0065,Bradford,"Chipmunk, Bradford 2nd & 3rd"
128.0,oil development,active,1442.0,1770.0,-78.59911,42.00669,Bradford,"Chipmunk, Bradford 2nd & 3rd"
176.0,oil development,active,1394.0,1650.0,-78.60104,42.00555,Bradford,"Chipmunk, Bradford 2nd & 3rd"
176.0,oil development,active,1455.0,1750.0,-78.59949,42.00591,Bradford,"Chipmunk, Bradford 2nd & 3rd"
142.0,oil development,active,1456.0,1780.0,-78.60876,42.00846,Bradford,Bradford 2nd & 3rd
176.0,oil development,active,1493.0,1840.0,-78.59705,42.00818,Bradford,"Chipmunk, Bradford 2nd & 3rd"
8.0,oil development,active,1200.0,2170.5,-78.10983,42.03329,Richburg,Richburg
8.0,oil development,active,1200.0,2170.5,-78.109227,42.03399,Richburg,Richburg
8.0,oil development,active,1200.0,2170.5,-78.108897,42.033081,Richburg,Richburg
4741.0,gas development,plugged abandoned,1818.0,535.0,-76.66245,42.89157,West Auburn,Queenston
213.0,gas development,inactive,1699.0,2340.0,-78.22821,42.0494,Richburg,Richburg
412.0,oil wildcat,inactive,1892.0,1888.8636363636363,-78.230721,42.047954,Richburg,Richburg
183.0,gas development,inactive,3098.0,1840.0,-79.22472,42.24522,Gerry-Charlotte,Onondaga
33291.0,gas development,inactive,5264.0,1400.0,-76.300353,42.0025,Stagecoach,Oriskany
2064.0,gas extension,inactive,5268.0,1430.0,-76.273582,42.011758,Stagecoach,Helderberg
81.0,oil development,plugged abandoned,1254.0,2265.0,-77.74205,42.08066,Beech Hill-Independence,Fulmer Valley
81.0,oil development,plugged abandoned,1252.0,2275.0,-77.739844,42.080573,Beech Hill-Independence,Fulmer Valley
81.0,oil development,plugged abandoned,1258.0,2280.0,-77.74089,42.08067,Beech Hill-Independence,Fulmer Valley
325.0,oil development,inactive,2026.0,2370.0,-78.22859,42.04883,Richburg,Richburg
11.0,oil development,active,1000.0,2133.798941798942,-77.835963,42.096016,Fulmer Valley,Fulmer Valley
567.0,gas development,inactive,1038.0,788.9772727272727,-78.54964,42.96832,Alden-Lancaster,Medina
28116.0,gas development,inactive,1425.0,640.0,-78.92266,42.73046,Orchard Park-Hamburg,Medina
18.0,gas development,inactive,2348.0,1281.2340425531916,-78.80368,42.60014,Brant-Eden,Medina
34.0,dry wildcat,plugged abandoned,4800.0,1415.0,-75.833473,42.137316,New Field Wildcat,Marcellus
12.0,oil development,active,1400.0,1690.0,-78.21307,42.03732,Richburg,Richburg
4226.0,gas extension,plugged abandoned,3450.0,1283.0,-79.31271,42.26601,Cassadaga Creek,Upper Devonian
12.0,oil development,active,1275.0,1640.0,-78.21228,42.03671,Richburg,Richburg
91.0,gas development,shut in,2295.0,830.0,-79.145431,42.497372,Lakeshore,Medina
12.0,oil development,active,1200.0,1535.0,-78.21023,42.03367,Richburg,Richburg
12.0,oil development,active,1250.0,1555.0,-78.21073,42.03452,Richburg,Richburg
12.0,oil development,active,1450.0,1585.0,-78.21151,42.03561,Richburg,Richburg
12.0,oil development,active,1250.0,1580.0,-78.21054,42.03715,Richburg,Richburg
4966.0,oil wildcat,active,4500.0,1780.0,-79.59416,42.04662,Clymer,Bass Island
12.0,oil development,active,1330.0,1600.0,-78.21325,42.03517,Richburg,Richburg
7509.0,gas development,inactive,1450.0,698.0,-78.9469,42.70504,Lakeview,Medina
6.0,oil development,active,1500.0,1703.0,-78.214028,42.036244,Richburg,Richburg
184673.0,gas development,inactive,3737.0,1420.0,-77.99032,42.18442,Gordon Brook,Oriskany
15334.0,gas development,inactive,3737.0,1420.0,-77.99038,42.18126,Gordon Brook,Oriskany
7360.0,gas development,inactive,3849.0,1505.0,-78.00324,42.17257,Gordon Brook,Oriskany
112732.0,gas development,inactive,3803.0,1505.0,-77.99893,42.18525,Gordon Brook,Oriskany
79.0,gas development,inactive,2670.0,1160.0,-79.098498,42.476368,Lakeshore,Medina
1.0,oil development,plugged abandoned,1504.0,2260.0,-78.20829,42.08956,Richburg,Richburg
1.0,oil development,plugged abandoned,1500.0,2280.0,-78.20824,42.08858,Richburg,Richburg
26989.0,gas extension,inactive,1850.0,513.0,-76.66872,42.8806,West Auburn,Queenston
24785.0,gas development,inactive,4851.0,1760.0,-78.04785,42.40488,Allen,Medina
1.0,oil development,plugged abandoned,1500.0,2240.0,-78.20771,42.08721,Richburg,Richburg
65794.0,gas development,inactive,2074.0,650.0,-76.63391,42.91097,West Auburn,Queenston
26224.0,gas development,inactive,2220.0,711.0,-76.631756,42.874836,West Auburn,Queenston
2.0,oil development,plugged abandoned,1500.0,2300.0,-78.20753,42.08821,Richburg,Richburg
2.0,oil development,plugged abandoned,1500.0,2320.0,-78.20749,42.08906,Richburg,Richburg
35149.0,gas development,inactive,1800.0,890.0,-78.70074,42.76148,East Aurora,Medina
3635.0,gas development,inactive,3927.0,1580.0,-79.39551,42.18789,Lakeshore,Grimsby
5035.0,oil wildcat,inactive,3000.0,1291.0,-79.01271,42.35481,Lakeshore,Onondaga
27724.0,gas development,inactive,2069.0,640.0,-79.33562,42.47109,Lakeshore,Medina
21945.0,gas development,inactive,4071.0,1670.0,-79.30556,42.18775,Lakeshore,Medina
35148.0,gas development,inactive,1876.0,950.0,-78.69974,42.75611,East Aurora,Medina
1.0,oil development,plugged abandoned,1450.0,2260.0,-78.20896,42.08912,Richburg,Richburg
398.0,oil wildcat,inactive,1300.0,1985.0,-79.18738,42.3134,Not Applicable,Laona
18220.0,gas development,plugged abandoned,2260.0,720.0,-76.631054,42.870437,West Auburn,Queenston
33960.0,gas development,inactive,3732.0,1680.0,-76.594923,42.177648,Van Etten,Oriskany
95.0,gas development,inactive,3260.0,1380.0,-79.29674,42.36667,Lakeshore,Medina
10954.0,gas development,plugged abandoned,3160.0,1319.0,-79.31426,42.35655,Lakeshore,Medina
6242.0,gas development,inactive,2680.0,1775.0,-79.21541,42.27561,Gerry-Charlotte,Medina
1564.0,gas development,inactive,2521.0,1363.0,-78.50932,42.72108,Wales,Medina
65280.0,gas wildcat,plugged abandoned,8269.0,2010.0,-77.31639,42.49752,Beans Station,Black River
718.0,gas development,inactive,3237.0,1443.0,-79.26777,42.37392,Lakeshore,Medina
615.0,gas development,inactive,3120.0,1402.0,-79.20304,42.40704,Lakeshore,Medina
970623.0,gas extension,shut in,7581.0,1670.0,-77.22773,42.53672,Glodes Corners Road,Black River
9839.0,gas development,shut in,3340.0,1358.0,-79.28687,42.31677,Lakeshore,Medina
1180344.0,gas development,plugged abandoned,7395.0,1370.0,-77.27162,42.53355,Glodes Corners Road,Black River
2533.0,gas development,inactive,3540.0,1482.0,-79.41875,42.26532,Lakeshore,Medina
785117.0,gas wildcat,plugged abandoned,7371.0,1480.0,-77.24183,42.50028,Muck Farm,Black River
99743.0,gas development,plugged abandoned,7690.0,1710.0,-77.25981,42.53926,Glodes Corners Road,Black River
562157.0,gas extension,shut in,6691.0,1135.0,-77.17231,42.54724,Glodes Corners Road,Black River
760333.0,gas development,plugged abandoned,7048.0,1340.0,-77.20315,42.53871,Glodes Corners Road,Black River
652023.0,gas extension,shut in,7110.0,1415.0,-77.19782,42.54362,Glodes Corners Road,Black River
222223.0,gas extension,plugged abandoned,7091.0,1340.0,-77.18198,42.53996,Glodes Corners Road,Black River
497667.0,gas extension,shut in,7313.0,1670.0,-77.25193,42.53438,Glodes Corners Road,Black River
344.0,oil development,active,1870.0,1846.4283216783217,-78.57947,42.00004,Bradford,Chipmunk
64572.0,gas wildcat,shut in,7961.0,1664.0,-77.21593,42.54077,Glodes Corners Road,Black River
1342885.0,gas extension,inactive,7442.0,1575.0,-77.20896,42.51025,Muck Farm,Black River
22186.0,gas development,shut in,3000.0,1360.0,-78.832028,42.524403,North Collins,Medina
350.0,gas development,shut in,1684.0,888.0,-78.6638,42.80031,Elma,Medina
1.0,oil development,active,1900.0,1891.9655172413793,-78.14102,42.01926,Richburg,Richburg
1.0,oil development,active,1850.0,1891.9655172413793,-78.14091,42.02061,Richburg,Richburg
1.0,oil development,active,1293.0,1864.4318181818182,-78.174346,42.001935,Richburg,Richburg
1.0,oil development,active,823.0,1492.0,-78.61299,42.02038,Chipmunk,"Chipmunk, Bradford 1st & 2nd"
25876.0,gas development,inactive,4121.0,1677.0,-79.29842,42.18762,Lakeshore,Grimsby
1.0,oil development,active,1366.0,1864.4318181818182,-78.175675,42.002038,Richburg,Richburg
1.0,oil development,active,1768.0,1903.7857142857142,-78.13984,42.01859,Richburg,Richburg
1.0,oil development,active,1380.0,1864.4318181818182,-78.17573,42.003397,Richburg,Richburg
5736.0,gas development,inactive,1869.0,722.0245901639345,-79.01992,42.62599,Lakeview,Medina
1.0,oil development,active,1850.0,1891.9655172413793,-78.14217,42.01995,Richburg,Richburg
1.0,oil development,active,1562.0,1890.0,-78.177439,42.003398,Richburg,Richburg
6202.0,gas development,inactive,2073.0,985.0,-78.79671,42.6822,Brant-Eden,Akron
23635.0,gas development,plugged abandoned,1128.0,895.0,-78.47776,42.97815,Alden-Lancaster,Medina
1.0,oil development,active,1900.0,1891.9655172413793,-78.14059,42.01908,Richburg,Richburg
752.0,gas development,inactive,3610.0,1375.0,-79.27508,42.25531,Lakeshore,Medina
1.0,oil development,active,1850.0,1903.7857142857142,-78.13931,42.01983,Richburg,Richburg
1.0,oil development,active,1975.0,1891.9655172413793,-78.14201,42.01871,Richburg,Richburg
1.0,oil development,active,860.0,1521.0,-78.61199,42.01941,Chipmunk,"Chipmunk, Bradford 1st & 2nd"
1.0,oil development,active,1825.0,1891.9655172413793,-78.14327,42.01931,Richburg,Richburg
1.0,oil development,active,840.0,1480.0,-78.61409,42.02038,Chipmunk,"Chipmunk, Bradford 1st & 2nd"
3861.0,gas development,inactive,2168.0,1065.0,-78.80435,42.67728,Brant-Eden,Medina
211.0,oil development,active,4220.0,1740.0,-79.33045,42.17211,Ellery,Medina
1.0,oil development,active,1818.0,1903.7857142857142,-78.13811,42.01985,Richburg,Richburg
1.0,oil development,active,1818.0,1903.7857142857142,-78.13871,42.01933,Richburg,Richburg
1.0,oil development,active,1430.0,1864.4318181818182,-78.174372,42.003417,Richburg,Richburg
25588.0,gas development,inactive,4278.0,1747.0,-79.32383,42.164738,Lakeshore,Medina
5951.0,gas development,inactive,1902.0,1000.0,-78.68578,42.74707,East Aurora,Medina
1002.0,oil development,plugged abandoned,2000.0,2314.0,-78.553036,42.016581,Bradford,"Chipmunk, Bradford 1st,2nd,3rd"
28609.0,gas development,inactive,4240.0,1777.0,-79.29777,42.17686,Lakeshore,Medina
320.0,gas development,inactive,1830.0,955.0,-78.68376,42.75171,East Aurora,Medina
23078.0,gas development,inactive,4204.0,1760.0,-79.306001,42.14861,Lakeshore,Grimsby
1002.0,oil development,plugged abandoned,2010.0,2334.0,-78.554567,42.016597,Bradford,"Chipmunk, Bradford 1st,2nd,3rd"
15248.0,gas development,inactive,4233.0,1760.0,-79.318041,42.160243,Lakeshore,Medina
18751.0,gas development,inactive,4399.0,1760.0,-79.302322,42.172107,Lakeshore,Medina
2.0,oil development,inactive,1550.0,1896.6978723404254,-78.40029,42.00778,Bradford,Bradford
1002.0,oil development,plugged abandoned,1900.0,2220.0,-78.55945,42.02125,Bradford,"Chipmunk, Bradford 1st,2nd,3rd"
3.0,oil development,active,1417.0,1864.4318181818182,-78.177214,42.002037,Richburg,Richburg
328.0,gas development,inactive,1953.0,701.6282051282051,-79.30986,42.49532,Lakeshore,Medina
35880.0,gas development,inactive,4206.0,1690.0,-79.3088,42.17071,Lakeshore,Medina
9663.0,gas development,inactive,4236.0,1755.0,-79.32694,42.16761,Lakeshore,Medina
8911.0,gas development,inactive,3321.0,1380.0,-79.154285,42.370695,Lakeshore,Medina
7449.0,gas development,inactive,4131.0,1616.0,-79.30603,42.15985,Lakeshore,Medina
316.0,gas development,inactive,1950.0,1063.0,-78.66734,42.75492,East Aurora,Medina
4721.0,gas development,inactive,1910.0,985.0,-78.67234,42.74709,East Aurora,Medina
4721.0,gas development,inactive,1895.0,995.0,-78.67903,42.74594,East Aurora,Medina
41900.0,gas development,inactive,4179.0,1554.0,-79.31359,42.14651,Lakeshore,Medina
31710.0,gas development,inactive,4238.0,1720.0,-79.31674,42.16989,Lakeshore,Medina
20803.0,gas development,inactive,4166.0,1665.0,-79.318443,42.164516,Lakeshore,Medina
78907.0,gas development,inactive,4228.0,1738.0,-79.30758,42.17597,Lakeshore,Medina
7457.0,oil development,inactive,3054.0,1620.0,-79.32698,42.1926,Ellery,Bass Island
1.0,oil development,inactive,1650.0,1950.0,-78.5191,42.13792,Five Mile,Chipmunk
1.0,oil development,inactive,1620.0,1740.0,-78.51723,42.137,Five Mile,Chipmunk
9703.0,gas development,inactive,1780.0,925.0,-78.69411,42.76114,East Aurora,Medina
12759.0,gas development,inactive,1700.0,931.98,-78.6916,42.77619,East Aurora,Medina
12759.0,gas development,inactive,1720.0,880.0,-78.69041,42.77086,East Aurora,Medina
7326.0,gas development,inactive,4125.0,1540.0,-79.31941,42.1438,Lakeshore,Medina
9472.0,gas development,inactive,1760.0,925.0,-78.72219,42.75844,Orchard Park-Hamburg,Medina
242.0,gas development,inactive,1822.0,940.0,-78.66167,42.7579,East Aurora,Medina
7305.0,gas development,inactive,4115.0,1570.0,-79.32121,42.14912,Lakeshore,Medina
4559787.0,gas extension,shut in,6816.0,1015.0,-77.16565,42.51879,Muck Farm,Black River
4721.0,gas development,inactive,2015.0,1090.0,-78.68879,42.74265,East Aurora,Medina
1555.0,gas development,inactive,4585.0,1600.0,-79.49712,42.00182,Lakeshore,Grimsby
8515.0,gas development,inactive,4123.0,1573.0,-79.31162,42.15201,Lakeshore,Medina
247.0,oil development,plugged abandoned,1999.0,2278.0,-78.566189,42.020671,Bradford,"Chipmunk, Bradford 2nd & 3rd"
247.0,oil development,plugged abandoned,1862.0,2142.0,-78.56333,42.01644,Bradford,"Chipmunk, Bradford 2nd & 3rd"
1094.0,oil development,plugged abandoned,1740.0,2300.0,-78.564483,42.021,Bradford,"Chipmunk, Bradford 1st & 2nd"
1850.0,oil development,plugged abandoned,1950.0,2262.0,-78.558086,42.012889,Bradford,"Chipmunk, Bradford 1st,2nd,3rd"
21035.0,gas development,inactive,4211.0,1603.2432432432433,-79.29822,42.14883,Lakeshore,Medina
1.0,gas development,inactive,2088.0,1457.923076923077,-78.395338,42.788184,Danley Corners,Medina
1598.0,oil development,plugged abandoned,1670.0,2245.0,-78.55756,42.02088,Bradford,Bradford & Chipmunk
927.0,oil development,plugged abandoned,1968.0,2296.0,-78.556616,42.014947,Bradford,"Chipmunk, Bradford 1st,2nd,3rd"
247.0,oil development,plugged abandoned,2030.0,2308.0,-78.56996,42.021453,Bradford,"Chipmunk, Bradford 2nd & 3rd"
21356.0,gas wildcat,inactive,4092.0,1671.0,-79.35232,42.18254,Ellery,Bass Island
927.0,oil development,plugged abandoned,2021.0,2352.0,-78.556563,42.017155,Bradford,"Chipmunk, Bradford 1st,2nd,3rd"
3046379.0,gas extension,plugged abandoned,7232.0,1400.0,-77.19181,42.51066,Muck Farm,Black River
8264.0,gas development,inactive,3343.0,1599.0,-79.22407,42.40265,Lakeshore,Medina
2454.0,oil development,plugged abandoned,1975.0,2260.0,-78.56084,42.01105,Bradford,Bradford & Chipmunk
2321.0,gas extension,inactive,1795.0,532.0,-76.66211,42.88761,West Auburn,Queenston
28614.0,gas development,inactive,4203.0,1584.5409836065573,-79.2979,42.15637,Lakeshore,Medina
8978.0,gas development,inactive,4204.0,1750.0,-79.31501,42.17542,Lakeshore,Medina
1094.0,oil development,plugged abandoned,1620.0,2120.0,-78.562622,42.017722,Bradford,"Chipmunk, Bradford 1st & 2nd"
955.0,oil development,active,1473.0,1810.0,-78.60382,42.00791,Bradford,"Chipmunk, Bradford 2nd & 3rd"
1598.0,oil development,plugged abandoned,1700.0,2305.0,-78.55769,42.01991,Bradford,Bradford & Chipmunk
1041.0,gas development,inactive,1680.0,855.0,-78.67483,42.77357,East Aurora,Medina
1041.0,gas development,inactive,1740.0,904.0,-78.67188,42.76833,East Aurora,Medina
18991.0,gas development,inactive,1753.0,912.0,-78.66316,42.76312,East Aurora,Medina
10788.0,gas development,inactive,1740.0,880.0,-78.72784,42.75282,Orchard Park-Hamburg,Medina
60.0,gas development,plugged abandoned,1095.0,1561.0,-78.20037,42.03067,Ceres,Richburg
86.0,oil development,inactive,1574.0,1860.0,-78.51535,42.13179,Five Mile,Chipmunk
24688.0,gas development,inactive,2357.0,680.0,-79.54104,42.35212,Lakeshore,Medina
291.0,oil development,active,1660.0,1845.638698630137,-78.58218,42.0024,Bradford,Chipmunk
30637.0,gas development,inactive,1815.0,890.0,-78.64777,42.75404,East Aurora,Medina
66540.0,gas development,inactive,4160.0,1609.0,-79.34188,42.14293,Lakeshore,Medina
87.0,oil development,inactive,1640.0,1900.0,-78.51537,42.13295,Five Mile,Chipmunk
23959.0,gas development,inactive,2445.0,705.0,-79.53496,42.34962,Lakeshore,Medina
29938.0,gas development,plugged abandoned,1860.0,1012.0,-78.67236,42.76035,East Aurora,Medina
20536.0,gas development,inactive,2180.0,700.0,-79.3565,42.43673,Lakeshore,Medina
2.0,oil extension,plugged abandoned,1652.0,1812.9259259259259,-78.530711,42.158183,Five Mile,Chipmunk
308.0,gas development,inactive,3413.0,1380.0,-79.7495,42.20798,Lakeshore,Medina
26506.0,gas development,inactive,1952.0,965.0,-78.66412,42.74864,East Aurora,Medina
3.0,oil development,inactive,1550.0,1897.218487394958,-78.4012,42.00888,Bradford,Bradford
26137.0,gas development,inactive,1682.0,880.0,-78.69185,42.78099,Elma,Medina
6153.0,gas development,inactive,4079.0,1530.0,-79.49435,42.10518,Lakeshore,Medina
3.0,oil development,inactive,1575.0,1896.274678111588,-78.39964,42.00632,Bradford,Bradford
11208.0,gas development,inactive,1820.0,970.0,-78.69042,42.75708,East Aurora,Medina
17573.0,gas development,inactive,2460.0,718.0,-79.53959,42.3459,Lakeshore,Medina
52.0,oil development,inactive,1650.0,1900.0,-78.51731,42.13423,Five Mile,Chipmunk
3440.0,gas development,plugged abandoned,4670.0,1625.0,-79.35538,42.01323,Lakeshore,Medina
4338.0,gas development,plugged abandoned,4760.0,1725.0,-79.36256,42.01217,Lakeshore,Medina
5758.0,gas development,inactive,2075.0,1097.0,-78.69438,42.74291,East Aurora,Medina
10854.0,gas development,inactive,2055.0,1052.0,-78.68704,42.73787,East Aurora,Medina
14015.0,gas development,plugged abandoned,1760.0,870.0,-78.6543,42.76219,East Aurora,Medina
3.0,oil development,inactive,1575.0,1896.5221238938052,-78.39841,42.00495,Bradford,Bradford
6502.0,gas development,plugged abandoned,1805.0,960.0,-78.67854,42.76578,East Aurora,Medina
41.0,oil development,inactive,619.0,1455.0,-79.284,42.01726,Busti,Glade
6462.0,gas development,inactive,1920.0,1000.0,-78.67825,42.74135,East Aurora,Medina
1.0,oil development,plugged abandoned,1766.0,1895.0,-78.646335,42.001022,Bradford,Bradford Third
96149.0,gas wildcat,inactive,7308.0,1440.0,-79.309049,42.211019,New Field Wildcat,Trenton
1.0,oil development,plugged abandoned,1870.0,1958.0,-78.658068,42.003809,Bradford,Bradford
1.0,oil development,plugged abandoned,1632.0,1915.0,-78.657029,42.003493,Bradford,Bradford
14140.0,gas development,inactive,4094.0,1540.0,-79.34871,42.14637,Lakeshore,Medina
114229.0,gas development,inactive,4220.0,1620.0,-79.33615,42.13741,Lakeshore,Medina
10.0,oil development,plugged abandoned,1260.0,2250.0,-77.757945,42.079045,Beech Hill-Independence,Fulmer Valley
4.0,oil development,active,803.0,1515.0,-79.31516,42.00906,Busti,Glade
20453.0,gas development,inactive,4280.0,1758.0,-79.32357,42.16012,Lakeshore,Medina
4.0,oil development,active,781.0,1537.0,-79.31555,42.01053,Busti,Glade
3.0,oil development,active,749.0,1475.0,-79.31504,42.00739,Busti,Glade
390.0,oil development,active,1444.0,1780.0,-78.59886,42.00752,Bradford,"Chipmunk, Bradford 2nd & 3rd"
4.0,oil development,active,676.0,1465.0,-79.31502,42.0059,Busti,Glade
8.0,oil development,active,1300.0,1882.638783269962,-78.411479,42.010511,Bradford,Bradford Second
1.0,oil development,plugged abandoned,2707.0,2150.0,-78.64667,42.00391,Bradford,Bradford
4.0,oil development,active,687.0,1493.0,-79.31613,42.00583,Busti,Glade
4.0,oil development,active,691.0,1485.0,-79.3136,42.007358,Busti,Glade
4.0,oil development,active,790.0,1528.0,-79.31365,42.009,Busti,Glade
4.0,oil development,active,565.0,1535.7104622871045,-79.311183,42.005281,Busti,Glade
1608.0,oil development,shut in,4010.0,1640.0,-79.23473,42.23204,Gerry-Charlotte,Bass Island
10127.0,gas development,inactive,3265.0,1362.0,-79.29884,42.35803,Lakeshore,Medina
4.0,oil development,active,791.0,1512.0,-79.317,42.0105,Busti,Glade
4.0,oil development,active,812.0,1505.0,-79.31654,42.00935,Busti,Glade
29992.0,gas development,inactive,3800.0,1475.0,-79.31241,42.20819,Lakeshore,Medina
1084529.0,gas extension,shut in,9487.0,1221.0,-76.956662,42.271238,County Line,Black River
4.0,oil development,active,810.0,1540.0,-79.312733,42.010533,Busti,Glade
62236.0,gas development,inactive,4231.0,1750.0,-79.341019,42.197106,Lakeshore,Medina
24481.0,gas development,inactive,4262.0,1692.0,-79.32918,42.14937,Lakeshore,Medina
4.0,oil development,active,789.0,1515.0,-79.31225,42.00925,Busti,Glade
4.0,oil development,active,682.0,1469.0,-79.31576,42.00655,Busti,Glade
3073.0,gas extension,plugged abandoned,3204.0,1376.9887640449438,-78.89822,42.41908,Lakeshore,Medina
1.0,oil development,plugged abandoned,1689.0,1420.0,-78.656386,42.002931,Bradford,Bradford
15346.0,gas development,inactive,4016.0,1670.0,-79.37425,42.19856,Lakeshore,Medina
22819.0,gas development,inactive,3852.0,1460.0,-79.3805,42.18116,Lakeshore,Medina
11246.0,gas development,inactive,4126.0,1715.0,-79.35099,42.18973,Lakeshore,Medina
15537.0,gas development,inactive,4055.0,1730.0,-79.35644,42.20824,Lakeshore,Medina
14621.0,gas development,inactive,3946.0,1640.0,-79.37736,42.21499,Lakeshore,Medina
18034.0,gas development,inactive,3937.0,1615.0,-79.34055,42.21532,Lakeshore,Medina
7.0,oil development,active,1550.0,1890.5418326693227,-78.40695,42.01175,Bradford,Bradford Third
1.0,oil development,plugged abandoned,1470.0,1795.0,-78.65367,42.0018,Bradford,Bradford
23983.0,gas development,inactive,2408.0,915.0,-79.24243,42.46491,Lakeshore,Medina
18210.0,gas development,inactive,3973.0,1750.0,-79.36027,42.21396,Lakeshore,Medina
1.0,oil development,plugged abandoned,1350.0,1805.0,-78.649995,42.001475,Bradford,Bradford
4.0,oil development,active,815.0,1528.0,-79.314077,42.010479,Busti,Glade
1.0,oil development,plugged abandoned,1250.0,1765.0,-78.650853,42.000029,Bradford,Bradford
